customer_name,matched_core_name,matched_domain
McGee & Co,McGee & Co.,mcgeeandcompany.com
McKee Foods,McKee Foods Corporation,mckeefoods.com
MCO,m,divergentlogistics.online
Merck Group,Merck,merck.us
Mesa County Valley School District 51 CO,Mesa County Valley School District 51,d51schools.org
Michaels,Michaels Inc.,davidmichaels.ca
Micro-LAM,"Micro-LAM, Inc.",micro-lam.com
Millow,"Millow, Inc.",millow.app
Misapplied Sciences,"Misapplied Sciences, Inc.",misappliedsciences.com
Motilal Oswal Financial Services Limited,Motilal Oswal Financial Services Ltd,motilaloswalgroup.com
MotorTrend,MotorTrend Group,motortrendgroup.com
N1co,N1,n1.xyz
NatWest Group,NatWest,natwestgroup.com
NEC Corporation,Nec,nec.com
NetZero,Netzero Inc,netzero.net
Nexum,Nexum Group,nexumgroupinc.com
Noble Knight Games,"NOBLE KNIGHT GAMES, INC.",nobleknight.com
Node Labs,Node Labs Inc,nodelabsca.com
North American Title Group,North American Title,nat.com
North Star Investment Management,North Star Investment Management Corporation,nsinvest.com
npm,"npm, Inc.",npmjs.com
NTT DATA Group,Ntt Data,nttdata.com
Nucor,Nucor Corporation,nucor.com
Nvest Financial Group,"Nvest Financial, LLC",planwithnvest.com
NY,NYCO,nyco.net
OOLY,"OOLY, LLC",ooly.com
Opko Health,"OPKO Health, Inc.",opko.com
OptimX Markets LLC,OptimX Markets,optimx.com
PACE Supply,PACE Supply Corp.,pacesupply.com
Pacer Group,Pacer,pacer.co
ParkMobile,"ParkMobile, LLC",parkmobile.io
Partner Capital Group,Partner Capital,partnercapital.net
PartsSource,PartsSource Inc.,partssource.com
Party Bus Group,Party Bus Inc,partybusinc.com
Peconic Partners,Peconic Partners LLC,peconic.com
Pella Corporation,Pella,pella.com
PetCareRx,PetCareRx Inc,petcarerx.com
PetMeds,petmeds ltd,petmeds.co.uk
Philadelphia Media Network,PHILADELPHIA MEDIA NETWORK INC,phillynews.com
Pike,Pike Corporation,pike.com
Platinum Pest Solutions,Platinum Pest Solutions Inc.,platinumpestsolutions.com
Plaza Home Mortgage,"Plaza Home Mortgage, Inc.",plazahomemortgage.com
Pointfuse,PointFuse Limited,pointfuse.com
Polk,POLK Group,polkgroup.org
PPCO,Pp,paperpreview.com
PracticeSuite,"PracticeSuite, Inc.",practicesuite.com
Preemadonna Inc.,Preemadonna,preemadonna.com
Primus Power,Primus Power Corporation,primuspower.com
PRISA,PriGroup,prigroup.nl
PromoShop,PromoShop Inc.,promoshopinc.com
Prospera Financial Services,"Prospera Financial Services, Inc.",prosperafinancial.com
Prudential,Prudential plc,prudentialplc.com
Pure Financial Advisors,"Pure Financial Advisors, LLC",purefinancial.com
QEI,"QEI, LLC",qeiinc.com
Quality Roofing,"Quality Roofing, Inc.",quality-roofing.com
Rad,RADCO,radco.us
Radio Systems,Radio Systems Corporation,radiosystemscorporation.com
Radiology Imaging Associates,"Radiology Imaging Associates, LLC",radiologyimagingassociates.net
Rava Ranches,"Rava Ranches, Inc.",ravaranches.com
Raymond,Raymond Limited,raymond.in
Renewco,RENEW,takkion.com
Renu,Renu Inc.,renu.inc
Residential Home Funding,Residential Home Funding Corp.,rhfunding.com
RetailCorp,RetailGroup,retailgroup.co
RiceWrap Foods,RiceWrap Foods Corporation,ricewrapsushi.com
Rockwell,Rockwell Group,rockwellgroup.com
Rodgers Brothers,"Rodgers Brothers, Inc.",rodgersbrothers.com
Rogers,Rogers Corporation,rogerscorp.com
Rosina Food Products,"Rosina Food Products, Inc.",rosina.com
Sage Hospitality,Sage Hospitality Group,sagehospitalitygroup.com
Saltworks,"SaltWorks, Inc.",seasalt.com
Sanctuary Wealth Group,Sanctuary Wealth,sanctuarywealth.com
Savage Arms,Savage Arms Inc.,savagearms.com
SAX,Saxco,saxco.com
Schenck,Schenck Company,schenck.com
Schylling,Schylling Inc.,schylling.com
SecretLab,"SecretLab, LLC",secretlab.com
Security Financial Management,"Security Financial Management, Inc.",sfmadvisorgroup.com
Segmed,"Segmed, Inc.",segmed.ai
Shelton Financial,Shelton Financial Group,sheltonfinancial.com
Signature Health,"Signature Health, Inc.",signaturehealthinc.org
Simon Law Group,Simon Law,simonlawpc.com
SiteSpect,"SiteSpect, Inc.",sitespect.com
Sleep Number,Sleep Number Corporation,sleepnumber.com
Southwest Service Administrators,"Southwest Service Administrators, Inc.",ssatpa.com
SPAR,SPAR Group,sparinc.com
SPM,"SPM, LLC",spm.net
Sport Clips,"Sport Clips, Inc.",haircutmenpablocreekjacksonvillefl.com
Sprott Global Resource Investments,Sprott Global Resource Investments Ltd.,sprottglobal.com
Steel Dynamics,"Steel Dynamics, Inc",steeldynamics.com
Steel King Industries,"Steel King Industries, Inc.",steelking.com
SterilMed,"SterilMed, Inc.",4medicalsolutions.com
STN Inc.,STN,stntv.com
Stotland Trucking,STOTLAND TRUCKING LLC,stotlandtrucking.com
Sweet Peas Co.,Sweet Peas Co,sweetpeasco.com
SwiftStack,SwiftStack Inc.,swiftstack.com
Tabcorp,TAB,tab.co.nz
Taggart International,"Taggart International, Ltd.",taggart-intl.com
Tailored Brands,"Tailored Brands, Inc.",tailoredbrands.com
Tasteful Selections,Tasteful Selections LLC,tastefulselections.com
Tata,Tata Group,tata.com
Teeter,Teeter Group,teetergroup.com
Ternwheel,Ternwheel Inc.,ternwheel.com
The Honest Company,The Honest,honest.com
The Simple Folk,The Simple Folk Co,thesimplefolk.co
The Wonderful Company,The Wonderful,wonderful.com
TNT,TNT Group,tntgroup.com.au
TotalMobile,Totalmobile Ltd,totalmobile.com
Tractor Beverage Co,Tractor Beverage Co.,drinktractor.com
Transit Technologies,Transit Technologies LLC,transittechgroup.com
Trifecta Oilfield Services,"TRIFECTA OILFIELD SERVICES, LLC",trifectaoilfieldservices.com
Trilogy Health Services LLC,"Trilogy Health Services, LLC",trilogyjobs.com
Tushbaby,"Tushbaby, Inc.",tushbaby.com
UBS AG,UBS,ubs.com
Unico Properties,Unico Properties LLC,unicoprop.com
United,United Group,ugoc.com
US Financial Services,"US Financial Services, LLC",usfsc.com
Used Engines Inc.,Used Engines inc,usedengines.us
VA,Vaco,vaco.com
Vision Government Solutions,"Vision Government Solutions, Inc.",vgsi.com
VTI Instruments,VTI Instruments Corporation,vtiinstruments.com
WA,WA Group,walivebig.com
WBD,WBD Inc.,wbd.org
Webull,Webull Corporation,webullcorp.com
Westminster Public Schools CO,Westminster Public Schools,wps.org
White Labs,White Labs Inc,whitelabs.com
Wichita Furniture,Wichita Furniture Inc.,wichitafurniture.com
Willie's Grill & Icehouse,Willie's Grill & Icehouse LLC,williesgrillandicehouse.com
Winter Water Factory,Winter Water Factory LLC,winterwaterfactory.com
Worksport,Worksport Ltd,worksport.com
Wynn,Wynn Group,wynngrooup.us
Yardnique,"yardnique, Inc.",yardnique.com
ZAGG,"ZAGG, Inc.",zagg.com
Zendex Tool,Zendex Tool Corp.,zendextool.com
ZIM,Zim Corporation,zim.biz
Zwilling J.A. Henckels,ZWILLING J.A. Henckels LLC,zwilling.com
